"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"19.02.2017","2.367,34","2.354,91","2.368,26","2.352,87","","0,69%"
"12.02.2017","2.351,16","2.321,72","2.351,31","2.321,42","","1,51%"
"05.02.2017","2.316,10","2.294,28","2.319,23","2.285,38","","0,81%"
"29.01.2017","2.297,42","2.286,01","2.298,31","2.267,21","","0,12%"
"22.01.2017","2.294,69","2.267,78","2.300,99","2.257,02","","1,03%"
"15.01.2017","2.271,31","2.269,14","2.276,96","2.258,41","","-0,15%"
"08.01.2017","2.274,64","2.273,59","2.279,27","2.254,25","","-0,10%"
"01.01.2017","2.276,98","2.251,57","2.282,10","2.245,13","","1,70%"
"25.12.2016","2.238,83","2.266,23","2.273,82","2.233,62","","-1,10%"
"18.12.2016","2.263,79","2.259,24","2.272,56","2.256,08","","0,25%"
"11.12.2016","2.258,07","2.258,83","2.277,53","2.248,44","","-0,06%"
"04.12.2016","2.259,53","2.200,65","2.259,80","2.199,97","","3,08%"
"27.11.2016","2.191,95","2.210,21","2.214,10","2.187,44","","-0,97%"
"20.11.2016","2.213,35","2.186,43","2.213,35","2.186,43","","1,44%"
"13.11.2016","2.181,90","2.165,64","2.189,89","2.156,08","","0,81%"
"06.11.2016","2.164,45","2.100,59","2.182,30","2.100,59","","3,80%"
"30.10.2016","2.085,18","2.129,78","2.133,25","2.083,79","","-1,94%"
"23.10.2016","2.126,41","2.148,50","2.154,79","2.119,36","","-0,69%"
"16.10.2016","2.141,16","2.132,95","2.148,44","2.124,43","","0,38%"
"09.10.2016","2.132,98","2.160,39","2.169,60","2.114,72","","-0,96%"
"02.10.2016","2.153,74","2.164,33","2.165,86","2.144,01","","-0,67%"
"25.09.2016","2.168,27","2.158,54","2.175,30","2.141,55","","0,17%"
"18.09.2016","2.164,69","2.143,99","2.179,99","2.135,91","","1,19%"
"11.09.2016","2.139,16","2.120,86","2.163,30","2.119,12","","0,53%"
"04.09.2016","2.127,81","2.181,61","2.187,87","2.127,81","","-2,39%"
"28.08.2016","2.179,98","2.170,19","2.184,87","2.157,09","","0,50%"
"21.08.2016","2.169,04","2.181,58","2.193,42","2.160,39","","-0,68%"
"14.08.2016","2.183,87","2.186,08","2.193,81","2.168,50","","-0,01%"
"07.08.2016","2.184,05","2.183,76","2.188,45","2.172,00","","0,05%"
"31.07.2016","2.182,87","2.173,15","2.182,87","2.147,58","","0,43%"
"24.07.2016","2.173,60","2.173,71","2.177,09","2.159,07","","-0,07%"
"17.07.2016","2.175,03","2.162,04","2.175,63","2.159,01","","0,61%"
"10.07.2016","2.161,74","2.131,72","2.169,05","2.131,72","","1,49%"
"03.07.2016","2.129,90","2.095,05","2.131,71","2.074,02","","1,28%"
"26.06.2016","2.102,95","2.031,45","2.108,71","1.991,68","","3,22%"
"19.06.2016","2.037,41","2.075,58","2.113,32","2.032,57","","-1,63%"
"12.06.2016","2.071,22","2.091,75","2.098,12","2.050,37","","-1,19%"
"05.06.2016","2.096,07","2.100,83","2.120,55","2.089,96","","-0,15%"
"29.05.2016","2.099,13","2.100,13","2.105,26","2.085,10","","0,00%"
"22.05.2016","2.099,06","2.052,23","2.099,06","2.047,26","","2,28%"
"15.05.2016","2.052,32","2.046,53","2.071,88","2.025,91","","0,28%"
"08.05.2016","2.046,61","2.057,55","2.084,87","2.043,13","","-0,51%"
"01.05.2016","2.057,14","2.067,17","2.083,42","2.039,45","","-0,40%"
"24.04.2016","2.065,30","2.089,37","2.099,89","2.052,28","","-1,26%"
"17.04.2016","2.091,58","2.078,83","2.111,05","2.073,65","","0,52%"
"10.04.2016","2.080,73","2.050,23","2.087,84","2.039,74","","1,62%"
"03.04.2016","2.047,60","2.073,19","2.074,02","2.033,80","","-1,21%"
"27.03.2016","2.072,78","2.037,89","2.075,07","2.028,31","","1,81%"
"20.03.2016","2.035,94","2.047,88","2.056,60","2.022,49","","-0,67%"
"13.03.2016","2.049,58","2.019,27","2.052,36","2.005,23","","1,35%"
